id,sqft,bedrooms,bathrooms,zip,city,neighbourhood,norm_property_type,norm_laundry,norm_parking,quality,rent
1432244,649.0,1.0,1.0,20004,Washington,Penn Quarter,apartment,In Unit,Garage,1.0,649.0
2311027,436.0,1.0,1.0,20036,Washington,Dupont Circle,condominium,,,0.0,662.0
1260774,696.0,1.0,1.0,20001,Washington,Chinatown,apartment,In Unit,,0.0,727.0
2895465,550.0,1.0,1.0,20002,Washington,Ivy City,apartment,,,0.0,800.0
2245415,620.0,1.0,1.0,20019,Washington,Marshall Heights,apartment,,Off Street,0.7198463597462125,800.0
1862477,650.0,1.0,1.0,20019,Washington,Marshall Heights,apartment,On Site,Street,0.5416322695001725,823.0
1564279,220.0,0.0,1.0,20012,Washington,Lamond Riggs,other,On Site,Street,0.5696482919821421,850.0
1509661,220.0,0.0,1.0,20012,Washington,Lamond Riggs,other,On Site,Street,0.5555672231292603,850.0
1587723,700.0,1.0,1.0,20032,Washington,Washington Highlands,condominium,None,Street,1.0,870.0
2061997,700.0,1.0,1.0,20032,Washington,Washington Highlands,condominium,None,Off Street,0.10255311741633774,870.0
2193051,500.0,0.0,1.0,20019,Washington,Southeast Washington,apartment,None,,0.2692521564540005,875.0
1609024,650.0,1.0,1.0,20019,Washington,Central Northeast,apartment,In Unit,Street,0.5204376086089532,875.0
2245438,750.0,2.0,1.0,20002,Washington,Ivy City,apartment,,,0.0,890.0
2201549,765.0,1.0,1.0,20001,Washington,Chinatown,apartment,In Unit,Garage,0.33921915504702715,894.0
1641498,782.0,1.0,1.0,20001,Washington,Chinatown,apartment,In Unit,Garage,0.4096244993114352,895.0
1760757,701.0,1.0,1.0,20002,Washington,Stanton Park,apartment,In Unit,Garage,0.7851196687216119,895.0
1350924,350.0,0.0,1.0,20009,Washington,Adams Morgan,apartment,In Building,Street,0.9309162773156432,895.0
1509499,540.0,1.0,1.0,20032,Washington,Bellevue,apartment,None,Street,1.0,895.0
1718826,744.0,1.0,1.0,20002,Washington,Stanton Park,apartment,In Unit,Garage,0.33921915504702715,896.0
952336,500.0,1.0,1.0,20002,Washington,Carver,apartment,In Unit,Street,1.0,899.0
2244253,300.0,0.0,1.0,20009,Washington,Cardozo/Shaw,house,In Unit,,1.0,900.0
1317190,725.0,2.0,1.0,20020,Washington,Skyland,apartment,,,1.0,900.0
2393954,1040.0,2.0,1.0,20006,Washington,George Washington University,house,,,0.33496381110078144,900.0
1031630,752.0,1.0,1.0,20001,Washington,Chinatown,apartment,In Unit,Garage,0.4096244993114352,901.0
1758849,761.0,1.0,1.5,20001,Washington,Chinatown,apartment,In Unit,Garage,0.4096244993114352,903.0
